단지코드,등록차량수
C1000,481.0
C1004,93.0
C1005,376.0
C1013,1665.0
C1014,708.0
C1015,579.0
C1017,1246.0
C1022,450.0
C1024,957.0
C1026,422.0
C1027,207.0
C1032,316.0
C1039,645.0
C1045,266.0
C1046,156.0
C1048,243.0
C1049,762.0
C1056,125.0
C1057,521.0
C1059,246.0
C1065,1255.0
C1068,510.0
C1077,236.0
C1084,226.0
C1085,521.0
C1089,309.0
C1102,417.0
C1103,787.0
C1109,313.0
C1122,1077.0
C1129,1668.0
C1131,1019.0
C1133,842.0
C1136,763.0
C1141,620.0
C1143,632.0
C1155,373.0
C1156,505.0
C1163,326.0
C1171,700.0
C1173,609.0
C1175,430.0
C1176,619.0
C1177,1044.0
C1180,311.0
C1184,488.0
C1194,585.0
C1206,90.0
C1207,59.0
C1210,586.0
C1213,148.0
C1227,823.0
C1234,311.0
C1236,657.0
C1244,1804.0
C1258,616.0
C1263,217.0
C1268,934.0
C1269,643.0
C1281,484.0
C1284,780.0
C1286,881.0
C1301,202.0
C1307,504.0
C1309,446.0
C1310,1084.0
C1312,359.0
C1316,22.0
C1319,398.0
C1320,924.0
C1326,1153.0
C1328,770.0
C1329,554.0
C1338,551.0
C1340,410.0
C1341,442.0
C1343,549.0
C1344,509.0
C1350,2315.0
C1357,995.0
C1360,375.0
C1363,2550.0
C1365,945.0
C1368,861.0
C1375,754.0
C1379,294.0
C1386,1145.0
C1394,271.0
C1402,498.0
C1406,1350.0
C1407,1064.0
C1410,815.0
C1424,179.0
C1426,262.0
C1428,333.0
C1430,839.0
C1439,172.0
C1448,1284.0
C1451,1044.0
C1455,420.0
C1465,557.0
C1468,810.0
C1470,553.0
C1476,70.0
C1487,505.0
C1490,899.0
C1492,296.0
C1497,382.0
C1516,475.0
C1519,235.0
C1527,1150.0
C1537,669.0
C1544,713.0
C1565,588.0
C1566,284.0
C1569,528.0
C1572,479.0
C1579,1158.0
C1584,507.0
C1585,718.0
C1592,739.0
C1601,308.0
C1613,498.0
C1616,98.0
C1620,1101.0
C1636,946.0
C1638,413.0
C1641,268.0
C1642,297.0
C1652,509.0
C1655,236.0
C1656,257.0
C1659,416.0
C1660,512.0
C1663,700.0
C1666,465.0
C1668,288.0
C1672,873.0
C1673,526.0
C1674,322.0
C1677,1101.0
C1681,520.0
C1685,164.0
C1687,349.0
C1689,960.0
C1693,1087.0
C1695,123.0
C1697,854.0
C1698,65.0
C1699,606.0
C1700,979.0
C1704,131.0
C1706,362.0
C1713,566.0
C1718,496.0
C1722,649.0
C1724,701.0
C1732,267.0
C1738,682.0
C1740,979.0
C1743,1653.0
C1744,979.0
C1756,609.0
C1757,508.0
C1761,730.0
C1762,460.0
C1768,670.0
C1773,614.0
C1775,96.0
C1783,570.0
C1786,345.0
C1788,412.0
C1790,120.0
C1802,1983.0
C1803,78.0
C1804,951.0
C1819,272.0
C1823,652.0
C1833,1001.0
C1834,255.0
C1837,398.0
C1845,277.0
C1848,625.0
C1850,254.0
C1859,116.0
C1861,613.0
C1863,733.0
C1866,135.0
C1867,374.0
C1871,408.0
C1874,62.0
C1875,209.0
C1879,713.0
C1880,761.0
C1885,616.0
C1889,808.0
C1896,845.0
C1898,415.0
C1899,31.0
C1900,596.0
C1907,207.0
C1910,396.0
C1911,831.0
C1916,752.0
C1925,75.0
C1929,413.0
C1933,1730.0
C1936,234.0
C1939,1896.0
C1940,709.0
C1941,600.0
C1945,730.0
C1962,401.0
C1965,500.0
C1967,639.0
C1968,220.0
C1969,886.0
C1970,159.0
C1973,457.0
C1979,133.0
C1983,253.0
C1985,630.0
C1987,166.0
C1994,496.0
C2000,795.0
C2001,417.0
C2008,548.0
C2010,690.0
C2013,91.0
C2016,220.0
C2020,19.0
C2021,902.0
C2032,1162.0
C2034,132.0
C2035,246.0
C2036,258.0
C2038,108.0
C2040,336.0
C2042,757.0
C2046,1306.0
C2049,841.0
C2055,723.0
C2059,13.0
C2066,503.0
C2068,594.0
C2070,735.0
C2071,1398.0
C2073,301.0
C2082,822.0
C2086,1524.0
C2089,572.0
C2094,318.0
C2096,525.0
C2097,995.0
C2099,383.0
C2100,671.0
C2106,353.0
C2109,60.0
C2127,403.0
C2132,359.0
C2133,328.0
C2135,127.0
C2137,752.0
C2139,155.0
C2141,495.0
C2142,396.0
C2143,719.0
C2153,280.0
C2154,124.0
C2156,204.0
C2162,347.0
C2173,745.0
C2181,683.0
C2186,744.0
C2188,125.0
C2190,129.0
C2192,324.0
C2202,226.0
C2208,840.0
C2211,244.0
C2212,86.0
C2216,149.0
C2221,359.0
C2225,448.0
C2227,505.0
C2232,248.0
C2237,55.0
C2245,98.0
C2251,870.0
C2255,410.0
C2256,344.0
C2258,78.0
C2259,1378.0
C2262,540.0
C2274,713.0
C2276,1159.0
C2287,284.0
C2289,364.0
C2298,444.0
C2308,244.0
C2310,189.0
C2314,343.0
C2316,712.0
C2319,266.0
C2325,293.0
C2326,557.0
C2328,1374.0
C2329,821.0
C2336,562.0
C2340,382.0
C2346,553.0
C2351,646.0
C2352,793.0
C2357,345.0
C2358,1010.0
C2359,693.0
C2361,1117.0
C2362,196.0
C2368,548.0
C2371,451.0
C2373,800.0
C2377,579.0
C2378,901.0
C2383,832.0
C2385,552.0
C2389,561.0
C2390,422.0
C2393,922.0
C2394,254.0
C2401,19.0
C2405,1240.0
C2412,487.0
C2414,1200.0
C2416,63.0
C2420,505.0
C2433,130.0
C2437,16.0
C2445,334.0
C2446,1204.0
C2450,451.0
C2453,559.0
C2458,910.0
C2460,793.0
C2470,887.0
C2479,647.0
C2481,302.0
C2486,587.0
C2488,1023.0
C2489,950.0
C2490,340.0
C2492,585.0
C2496,1400.0
C2503,327.0
C2505,163.0
C2506,1433.0
C2507,763.0
C2508,568.0
C2513,820.0
C2514,648.0
C2515,205.0
C2518,305.0
C2520,386.0
C2522,610.0
C2526,321.0
C2527,375.0
C2530,302.0
C2531,358.0
C2532,146.0
C2536,47.0
C2538,799.0
C2539,228.0
C2549,165.0
C2556,148.0
C2560,481.0
C2561,441.0
C2563,449.0
C2565,1090.0
C2568,189.0
C2570,205.0
C2571,62.0
C2574,826.0
C2576,73.0
C2579,751.0
C2583,982.0
C2586,57.0
C2587,589.0
C2595,1359.0
C2596,480.0
C2597,94.0
C2601,281.0
C2603,509.0
C2605,572.0
C2609,555.0
C2612,1832.0
C2618,783.0
C2620,1709.0
C2621,133.0
C2627,404.0
C2631,638.0
C2635,442.0
C2644,177.0
C2650,159.0
C2651,282.0
C2657,782.0
C2659,365.0
C2661,330.0
C2663,652.0
C2666,701.0
C2670,435.0
C2680,590.0
C2692,437.0
